module_id,title,subtitle,domain,category,status
SUP-001,Dietary Supplements Overview,"Evidence, dosing, safety, interactions, and practical considerations for dietary supplements overview.",Supplements,Supplement Foundations,draft-generated
SUP-002,How Supplements Are Regulated,"Evidence, dosing, safety, interactions, and practical considerations for how supplements are regulated.",Supplements,Supplement Foundations,draft-generated
SUP-003,How to Read a Supplement Label,"Evidence, dosing, safety, interactions, and practical considerations for how to read a supplement label.",Supplements,Supplement Foundations,draft-generated
SUP-004,Supplement Quality Testing,"Evidence, dosing, safety, interactions, and practical considerations for supplement quality testing.",Supplements,Supplement Foundations,draft-generated
SUP-005,Third-Party Supplement Certification,"Evidence, dosing, safety, interactions, and practical considerations for third-party supplement certification.",Supplements,Supplement Foundations,draft-generated
SUP-006,Supplement Contamination,"Evidence, dosing, safety, interactions, and practical considerations for supplement contamination.",Supplements,Supplement Foundations,draft-generated
SUP-007,Supplement Adulteration,"Evidence, dosing, safety, interactions, and practical considerations for supplement adulteration.",Supplements,Supplement Foundations,draft-generated
SUP-008,Supplement Dosage,"Evidence, dosing, safety, interactions, and practical considerations for supplement dosage.",Supplements,Supplement Foundations,draft-generated
SUP-009,Supplement Timing,"Evidence, dosing, safety, interactions, and practical considerations for supplement timing.",Supplements,Supplement Foundations,draft-generated
SUP-010,Supplement Absorption,"Evidence, dosing, safety, interactions, and practical considerations for supplement absorption.",Supplements,Supplement Foundations,draft-generated
SUP-011,Food vs Supplements,"Evidence, dosing, safety, interactions, and practical considerations for food vs supplements.",Supplements,Supplement Foundations,draft-generated
SUP-012,Who May Need Supplements,"Evidence, dosing, safety, interactions, and practical considerations for who may need supplements.",Supplements,Supplement Foundations,draft-generated
SUP-013,Who Should Avoid Supplements,"Evidence, dosing, safety, interactions, and practical considerations for who should avoid supplements.",Supplements,Supplement Foundations,draft-generated
SUP-014,Supplement Side Effects,"Evidence, dosing, safety, interactions, and practical considerations for supplement side effects.",Supplements,Supplement Foundations,draft-generated
SUP-015,Supplement-Drug Interactions,"Evidence, dosing, safety, interactions, and practical considerations for supplement-drug interactions.",Supplements,Supplement Foundations,draft-generated
SUP-016,Supplement-Supplement Interactions,"Evidence, dosing, safety, interactions, and practical considerations for supplement-supplement interactions.",Supplements,Supplement Foundations,draft-generated
SUP-017,Megadosing Risks,"Evidence, dosing, safety, interactions, and practical considerations for megadosing risks.",Supplements,Supplement Foundations,draft-generated
SUP-018,Natural Does Not Mean Safe,"Evidence, dosing, safety, interactions, and practical considerations for natural does not mean safe.",Supplements,Supplement Foundations,draft-generated
SUP-019,Evidence Levels for Supplements,"Evidence, dosing, safety, interactions, and practical considerations for evidence levels for supplements.",Supplements,Supplement Foundations,draft-generated
SUP-020,Placebo Effects and Supplements,"Evidence, dosing, safety, interactions, and practical considerations for placebo effects and supplements.",Supplements,Supplement Foundations,draft-generated
SUP-021,Choosing a Supplement,"Evidence, dosing, safety, interactions, and practical considerations for choosing a supplement.",Supplements,Supplement Foundations,draft-generated
SUP-022,Tracking Supplement Use,"Evidence, dosing, safety, interactions, and practical considerations for tracking supplement use.",Supplements,Supplement Foundations,draft-generated
SUP-023,Discussing Supplements With a Clinician,"Evidence, dosing, safety, interactions, and practical considerations for discussing supplements with a clinician.",Supplements,Supplement Foundations,draft-generated
SUP-024,Stopping Unnecessary Supplements,"Evidence, dosing, safety, interactions, and practical considerations for stopping unnecessary supplements.",Supplements,Supplement Foundations,draft-generated
SUP-025,Building a Safe Supplement Plan,"Evidence, dosing, safety, interactions, and practical considerations for building a safe supplement plan.",Supplements,Supplement Foundations,draft-generated
SUP-026,Vitamin A Supplements,"Evidence, dosing, safety, interactions, and practical considerations for vitamin a supplements.",Supplements,Vitamins,draft-generated
SUP-027,Beta-Carotene Supplements,"Evidence, dosing, safety, interactions, and practical considerations for beta-carotene supplements.",Supplements,Vitamins,draft-generated
SUP-028,Thiamin Supplements,"Evidence, dosing, safety, interactions, and practical considerations for thiamin supplements.",Supplements,Vitamins,draft-generated
SUP-029,Riboflavin Supplements,"Evidence, dosing, safety, interactions, and practical considerations for riboflavin supplements.",Supplements,Vitamins,draft-generated
SUP-030,Niacin Supplements,"Evidence, dosing, safety, interactions, and practical considerations for niacin supplements.",Supplements,Vitamins,draft-generated
SUP-031,Pantothenic Acid Supplements,"Evidence, dosing, safety, interactions, and practical considerations for pantothenic acid supplements.",Supplements,Vitamins,draft-generated
SUP-032,Vitamin B6 Supplements,"Evidence, dosing, safety, interactions, and practical considerations for vitamin b6 supplements.",Supplements,Vitamins,draft-generated
SUP-033,Biotin Supplements,"Evidence, dosing, safety, interactions, and practical considerations for biotin supplements.",Supplements,Vitamins,draft-generated
SUP-034,Folate Supplements,"Evidence, dosing, safety, interactions, and practical considerations for folate supplements.",Supplements,Vitamins,draft-generated
SUP-035,Folic Acid Supplements,"Evidence, dosing, safety, interactions, and practical considerations for folic acid supplements.",Supplements,Vitamins,draft-generated
SUP-036,Vitamin B12 Supplements,"Evidence, dosing, safety, interactions, and practical considerations for vitamin b12 supplements.",Supplements,Vitamins,draft-generated
SUP-037,Vitamin C Supplements,"Evidence, dosing, safety, interactions, and practical considerations for vitamin c supplements.",Supplements,Vitamins,draft-generated
SUP-038,Vitamin D Supplements,"Evidence, dosing, safety, interactions, and practical considerations for vitamin d supplements.",Supplements,Vitamins,draft-generated
SUP-039,Vitamin E Supplements,"Evidence, dosing, safety, interactions, and practical considerations for vitamin e supplements.",Supplements,Vitamins,draft-generated
SUP-040,Vitamin K Supplements,"Evidence, dosing, safety, interactions, and practical considerations for vitamin k supplements.",Supplements,Vitamins,draft-generated
SUP-041,Multivitamins,"Evidence, dosing, safety, interactions, and practical considerations for multivitamins.",Supplements,Vitamins,draft-generated
SUP-042,Prenatal Vitamins,"Evidence, dosing, safety, interactions, and practical considerations for prenatal vitamins.",Supplements,Vitamins,draft-generated
SUP-043,Senior Multivitamins,"Evidence, dosing, safety, interactions, and practical considerations for senior multivitamins.",Supplements,Vitamins,draft-generated
