module_id,title,subtitle,domain,category,status
LIF-001,Lifestyle Medicine,"Foundations, evidence, and practical application of lifestyle medicine.",Lifestyle and Healthy Habits,Lifestyle Foundations,draft-generated
LIF-002,Daily Routines and Health,"Foundations, evidence, and practical application of daily routines and health.",Lifestyle and Healthy Habits,Lifestyle Foundations,draft-generated
LIF-003,Health Behaviors,"Foundations, evidence, and practical application of health behaviors.",Lifestyle and Healthy Habits,Lifestyle Foundations,draft-generated
LIF-004,Preventive Health,"Foundations, evidence, and practical application of preventive health.",Lifestyle and Healthy Habits,Lifestyle Foundations,draft-generated
LIF-005,Healthspan,"Foundations, evidence, and practical application of healthspan.",Lifestyle and Healthy Habits,Lifestyle Foundations,draft-generated
LIF-006,Small Habits and Long-Term Health,"Foundations, evidence, and practical application of small habits and long-term health.",Lifestyle and Healthy Habits,Lifestyle Foundations,draft-generated
LIF-007,Consistency vs Perfection,"Foundations, evidence, and practical application of consistency vs perfection.",Lifestyle and Healthy Habits,Lifestyle Foundations,draft-generated
LIF-008,Lifestyle Risk Factors,"Foundations, evidence, and practical application of lifestyle risk factors.",Lifestyle and Healthy Habits,Lifestyle Foundations,draft-generated
LIF-009,Lifestyle Protective Factors,"Foundations, evidence, and practical application of lifestyle protective factors.",Lifestyle and Healthy Habits,Lifestyle Foundations,draft-generated
LIF-010,Creating a Healthy Environment,"Foundations, evidence, and practical application of creating a healthy environment.",Lifestyle and Healthy Habits,Lifestyle Foundations,draft-generated
LIF-011,Health Priorities,"Foundations, evidence, and practical application of health priorities.",Lifestyle and Healthy Habits,Lifestyle Foundations,draft-generated
LIF-012,Health Goals,"Foundations, evidence, and practical application of health goals.",Lifestyle and Healthy Habits,Lifestyle Foundations,draft-generated
LIF-013,Self-Monitoring,"Foundations, evidence, and practical application of self-monitoring.",Lifestyle and Healthy Habits,Lifestyle Foundations,draft-generated
LIF-014,Personal Health Planning,"Foundations, evidence, and practical application of personal health planning.",Lifestyle and Healthy Habits,Lifestyle Foundations,draft-generated
