module_id,title,subtitle,domain,category,status
FAQ-001,How much protein do I need?,Evidence-based answer to the common question: how much protein do i need?,Frequently Asked Questions,Nutrition FAQs,draft-generated
FAQ-002,Are carbohydrates bad for health?,Evidence-based answer to the common question: are carbohydrates bad for health?,Frequently Asked Questions,Nutrition FAQs,draft-generated
FAQ-003,How much fiber should I eat?,Evidence-based answer to the common question: how much fiber should i eat?,Frequently Asked Questions,Nutrition FAQs,draft-generated
FAQ-004,Is dietary fat unhealthy?,Evidence-based answer to the common question: is dietary fat unhealthy?,Frequently Asked Questions,Nutrition FAQs,draft-generated
FAQ-005,How much added sugar is too much?,Evidence-based answer to the common question: how much added sugar is too much?,Frequently Asked Questions,Nutrition FAQs,draft-generated
FAQ-006,Is breakfast necessary?,Evidence-based answer to the common question: is breakfast necessary?,Frequently Asked Questions,Nutrition FAQs,draft-generated
FAQ-007,How often should I eat?,Evidence-based answer to the common question: how often should i eat?,Frequently Asked Questions,Nutrition FAQs,draft-generated
FAQ-008,Are snacks unhealthy?,Evidence-based answer to the common question: are snacks unhealthy?,Frequently Asked Questions,Nutrition FAQs,draft-generated
FAQ-009,Is late-night eating bad?,Evidence-based answer to the common question: is late-night eating bad?,Frequently Asked Questions,Nutrition FAQs,draft-generated
FAQ-010,How much water should I drink?,Evidence-based answer to the common question: how much water should i drink?,Frequently Asked Questions,Nutrition FAQs,draft-generated
FAQ-011,Is coffee healthy?,Evidence-based answer to the common question: is coffee healthy?,Frequently Asked Questions,Nutrition FAQs,draft-generated
FAQ-012,Is tea healthy?,Evidence-based answer to the common question: is tea healthy?,Frequently Asked Questions,Nutrition FAQs,draft-generated
FAQ-013,Are artificial sweeteners safe?,Evidence-based answer to the common question: are artificial sweeteners safe?,Frequently Asked Questions,Nutrition FAQs,draft-generated
FAQ-014,Is intermittent fasting healthy?,Evidence-based answer to the common question: is intermittent fasting healthy?,Frequently Asked Questions,Nutrition FAQs,draft-generated
FAQ-015,Is a vegetarian diet healthy?,Evidence-based answer to the common question: is a vegetarian diet healthy?,Frequently Asked Questions,Nutrition FAQs,draft-generated
FAQ-016,Is a vegan diet healthy?,Evidence-based answer to the common question: is a vegan diet healthy?,Frequently Asked Questions,Nutrition FAQs,draft-generated
FAQ-017,Is the Mediterranean diet best?,Evidence-based answer to the common question: is the mediterranean diet best?,Frequently Asked Questions,Nutrition FAQs,draft-generated
FAQ-018,How do I read a nutrition label?,Evidence-based answer to the common question: how do i read a nutrition label?,Frequently Asked Questions,Nutrition FAQs,draft-generated
FAQ-019,Do I need a multivitamin?,Evidence-based answer to the common question: do i need a multivitamin?,Frequently Asked Questions,Nutrition FAQs,draft-generated
FAQ-020,How can I eat healthy on a budget?,Evidence-based answer to the common question: how can i eat healthy on a budget?,Frequently Asked Questions,Nutrition FAQs,draft-generated
