module_id,title,subtitle,domain,category,status
BEH-001,How Behavior Change Works,"Evidence, mechanisms, and practical application of how behavior change works.",Behavior Change,Behavior Change Foundations,draft-generated
BEH-002,Motivation,"Evidence, mechanisms, and practical application of motivation.",Behavior Change,Behavior Change Foundations,draft-generated
BEH-003,Ability and Opportunity,"Evidence, mechanisms, and practical application of ability and opportunity.",Behavior Change,Behavior Change Foundations,draft-generated
BEH-004,Habit Formation,"Evidence, mechanisms, and practical application of habit formation.",Behavior Change,Behavior Change Foundations,draft-generated
BEH-005,Habit Loops,"Evidence, mechanisms, and practical application of habit loops.",Behavior Change,Behavior Change Foundations,draft-generated
BEH-006,Automatic Behavior,"Evidence, mechanisms, and practical application of automatic behavior.",Behavior Change,Behavior Change Foundations,draft-generated
BEH-007,Intentions vs Actions,"Evidence, mechanisms, and practical application of intentions vs actions.",Behavior Change,Behavior Change Foundations,draft-generated
BEH-008,Behavioral Triggers,"Evidence, mechanisms, and practical application of behavioral triggers.",Behavior Change,Behavior Change Foundations,draft-generated
BEH-009,Rewards and Reinforcement,"Evidence, mechanisms, and practical application of rewards and reinforcement.",Behavior Change,Behavior Change Foundations,draft-generated
BEH-010,Identity-Based Habits,"Evidence, mechanisms, and practical application of identity-based habits.",Behavior Change,Behavior Change Foundations,draft-generated
BEH-011,Self-Efficacy,"Evidence, mechanisms, and practical application of self-efficacy.",Behavior Change,Behavior Change Foundations,draft-generated
BEH-012,Readiness to Change,"Evidence, mechanisms, and practical application of readiness to change.",Behavior Change,Behavior Change Foundations,draft-generated
BEH-013,Stages of Change,"Evidence, mechanisms, and practical application of stages of change.",Behavior Change,Behavior Change Foundations,draft-generated
BEH-014,Behavioral Friction,"Evidence, mechanisms, and practical application of behavioral friction.",Behavior Change,Behavior Change Foundations,draft-generated
BEH-015,Environmental Design,"Evidence, mechanisms, and practical application of environmental design.",Behavior Change,Behavior Change Foundations,draft-generated
BEH-016,Setting Health Goals,Practical evidence-based approaches to setting health goals.,Behavior Change,Goal Setting,draft-generated
BEH-017,SMART Goals,Practical evidence-based approaches to smart goals.,Behavior Change,Goal Setting,draft-generated
BEH-018,Process Goals,Practical evidence-based approaches to process goals.,Behavior Change,Goal Setting,draft-generated
BEH-019,Outcome Goals,Practical evidence-based approaches to outcome goals.,Behavior Change,Goal Setting,draft-generated
BEH-020,Approach Goals,Practical evidence-based approaches to approach goals.,Behavior Change,Goal Setting,draft-generated
