module_id,title,subtitle,domain,category,status
MEA-001,Meal Planning Basics,"Practical strategies, examples, and evidence related to meal planning basics.",Meal Planning,Meal Planning Foundations,draft-generated
MEA-002,Building a Balanced Plate,"Practical strategies, examples, and evidence related to building a balanced plate.",Meal Planning,Meal Planning Foundations,draft-generated
MEA-003,Planning Protein at Each Meal,"Practical strategies, examples, and evidence related to planning protein at each meal.",Meal Planning,Meal Planning Foundations,draft-generated
MEA-004,Planning Fiber at Each Meal,"Practical strategies, examples, and evidence related to planning fiber at each meal.",Meal Planning,Meal Planning Foundations,draft-generated
MEA-005,Planning Vegetables,"Practical strategies, examples, and evidence related to planning vegetables.",Meal Planning,Meal Planning Foundations,draft-generated
MEA-006,Planning Whole Grains,"Practical strategies, examples, and evidence related to planning whole grains.",Meal Planning,Meal Planning Foundations,draft-generated
MEA-007,Planning Healthy Fats,"Practical strategies, examples, and evidence related to planning healthy fats.",Meal Planning,Meal Planning Foundations,draft-generated
MEA-008,Planning Hydration,"Practical strategies, examples, and evidence related to planning hydration.",Meal Planning,Meal Planning Foundations,draft-generated
MEA-009,Portion Planning,"Practical strategies, examples, and evidence related to portion planning.",Meal Planning,Meal Planning Foundations,draft-generated
MEA-010,Meal Planning Without Calorie Counting,"Practical strategies, examples, and evidence related to meal planning without calorie counting.",Meal Planning,Meal Planning Foundations,draft-generated
MEA-011,High-Protein Breakfasts,How to build and adapt high-protein breakfasts for balanced nutrition.,Meal Planning,Breakfast Plans,draft-generated
MEA-012,High-Fiber Breakfasts,How to build and adapt high-fiber breakfasts for balanced nutrition.,Meal Planning,Breakfast Plans,draft-generated
MEA-013,Vegetarian Breakfasts,How to build and adapt vegetarian breakfasts for balanced nutrition.,Meal Planning,Breakfast Plans,draft-generated
MEA-014,Vegan Breakfasts,How to build and adapt vegan breakfasts for balanced nutrition.,Meal Planning,Breakfast Plans,draft-generated
MEA-015,Indian Breakfasts,How to build and adapt indian breakfasts for balanced nutrition.,Meal Planning,Breakfast Plans,draft-generated
MEA-016,Quick Breakfasts,How to build and adapt quick breakfasts for balanced nutrition.,Meal Planning,Breakfast Plans,draft-generated
MEA-017,Make-Ahead Breakfasts,How to build and adapt make-ahead breakfasts for balanced nutrition.,Meal Planning,Breakfast Plans,draft-generated
