module_id,title,subtitle,domain,category,status
MEN-001,Men's Health Across Adulthood,"Evidence, physiology, prevention, and practical implications of men's health across adulthood.",Men's Health,Men's Health Foundations,draft-generated
MEN-002,Male Reproductive Anatomy,"Evidence, physiology, prevention, and practical implications of male reproductive anatomy.",Men's Health,Men's Health Foundations,draft-generated
MEN-003,Male Reproductive Hormones,"Evidence, physiology, prevention, and practical implications of male reproductive hormones.",Men's Health,Men's Health Foundations,draft-generated
MEN-004,Testosterone,"Evidence, physiology, prevention, and practical implications of testosterone.",Men's Health,Men's Health Foundations,draft-generated
MEN-005,Men's Preventive Care,"Evidence, physiology, prevention, and practical implications of men's preventive care.",Men's Health,Men's Health Foundations,draft-generated
MEN-006,Men's Health Screening,"Evidence, physiology, prevention, and practical implications of men's health screening.",Men's Health,Men's Health Foundations,draft-generated
MEN-007,Nutrition for Men,"Evidence, physiology, prevention, and practical implications of nutrition for men.",Men's Health,Men's Health Foundations,draft-generated
MEN-008,Exercise for Men,"Evidence, physiology, prevention, and practical implications of exercise for men.",Men's Health,Men's Health Foundations,draft-generated
MEN-009,Sleep in Men,"Evidence, physiology, prevention, and practical implications of sleep in men.",Men's Health,Men's Health Foundations,draft-generated
MEN-010,Stress in Men,"Evidence, physiology, prevention, and practical implications of stress in men.",Men's Health,Men's Health Foundations,draft-generated
MEN-011,Heart Disease Risk in Men,"Risk factors, prevention, evidence, and practical actions related to heart disease risk in men.",Men's Health,Cardiometabolic Health,draft-generated
MEN-012,High Blood Pressure in Men,"Risk factors, prevention, evidence, and practical actions related to high blood pressure in men.",Men's Health,Cardiometabolic Health,draft-generated
MEN-013,High Cholesterol in Men,"Risk factors, prevention, evidence, and practical actions related to high cholesterol in men.",Men's Health,Cardiometabolic Health,draft-generated
MEN-014,Diabetes Risk in Men,"Risk factors, prevention, evidence, and practical actions related to diabetes risk in men.",Men's Health,Cardiometabolic Health,draft-generated
MEN-015,Metabolic Syndrome in Men,"Risk factors, prevention, evidence, and practical actions related to metabolic syndrome in men.",Men's Health,Cardiometabolic Health,draft-generated
MEN-016,Abdominal Fat in Men,"Risk factors, prevention, evidence, and practical actions related to abdominal fat in men.",Men's Health,Cardiometabolic Health,draft-generated
MEN-017,Fatty Liver Disease in Men,"Risk factors, prevention, evidence, and practical actions related to fatty liver disease in men.",Men's Health,Cardiometabolic Health,draft-generated
MEN-018,Weight Management for Men,"Risk factors, prevention, evidence, and practical actions related to weight management for men.",Men's Health,Cardiometabolic Health,draft-generated
