module_id,title,subtitle,domain,category,status,dependencies,related_modules,difficulty,content_type
SLP-001,Why Sleep Matters,"Core concepts, physiology, evidence, and practical implications of why sleep matters.",Sleep,Sleep Foundations,pending,,,Foundation,foundational
SLP-002,What Happens During Sleep,"Core concepts, physiology, evidence, and practical implications of what happens during sleep.",Sleep,Sleep Foundations,pending,,,Foundation,foundational
SLP-003,Sleep Architecture,"Core concepts, physiology, evidence, and practical implications of sleep architecture.",Sleep,Sleep Foundations,pending,,,Foundation,foundational
SLP-004,Non-REM Sleep,"Core concepts, physiology, evidence, and practical implications of non-rem sleep.",Sleep,Sleep Foundations,pending,,,Foundation,foundational
SLP-005,REM Sleep,"Core concepts, physiology, evidence, and practical implications of rem sleep.",Sleep,Sleep Foundations,pending,,,Foundation,foundational
SLP-006,Deep Sleep,"Core concepts, physiology, evidence, and practical implications of deep sleep.",Sleep,Sleep Foundations,pending,,,Foundation,foundational
SLP-007,Sleep Cycles,"Core concepts, physiology, evidence, and practical implications of sleep cycles.",Sleep,Sleep Foundations,pending,,,Foundation,foundational
SLP-008,Circadian Rhythm,"Core concepts, physiology, evidence, and practical implications of circadian rhythm.",Sleep,Sleep Foundations,pending,,,Foundation,foundational
SLP-009,Sleep Pressure and Adenosine,"Core concepts, physiology, evidence, and practical implications of sleep pressure and adenosine.",Sleep,Sleep Foundations,pending,,,Foundation,foundational
SLP-010,Chronotypes,"Core concepts, physiology, evidence, and practical implications of chronotypes.",Sleep,Sleep Foundations,pending,,,Foundation,foundational
SLP-011,Sleep Need Across Adulthood,"Core concepts, physiology, evidence, and practical implications of sleep need across adulthood.",Sleep,Sleep Foundations,pending,,,Foundation,foundational
SLP-012,Sleep Quantity vs Sleep Quality,"Core concepts, physiology, evidence, and practical implications of sleep quantity vs sleep quality.",Sleep,Sleep Foundations,pending,,,Foundation,foundational
SLP-013,Sleep Efficiency,"Core concepts, physiology, evidence, and practical implications of sleep efficiency.",Sleep,Sleep Foundations,pending,,,Foundation,foundational
SLP-014,Sleep Continuity,"Core concepts, physiology, evidence, and practical implications of sleep continuity.",Sleep,Sleep Foundations,pending,,,Foundation,foundational
SLP-015,Sleep Timing,"Core concepts, physiology, evidence, and practical implications of sleep timing.",Sleep,Sleep Foundations,pending,,,Foundation,foundational
SLP-016,Sleep Regularity,"Core concepts, physiology, evidence, and practical implications of sleep regularity.",Sleep,Sleep Foundations,pending,,,Foundation,foundational
SLP-017,Sleep Inertia,"Core concepts, physiology, evidence, and practical implications of sleep inertia.",Sleep,Sleep Foundations,pending,,,Foundation,foundational
SLP-018,Dreaming,"Core concepts, physiology, evidence, and practical implications of dreaming.",Sleep,Sleep Foundations,pending,,,Foundation,foundational
