module_id,title,subtitle,domain,category,status
AGE-001,What Is Healthy Aging,"Science, evidence, and practical implications of what is healthy aging.",Healthy Aging and Longevity,Healthy Aging Foundations,draft-generated
AGE-002,Healthspan vs Lifespan,"Science, evidence, and practical implications of healthspan vs lifespan.",Healthy Aging and Longevity,Healthy Aging Foundations,draft-generated
AGE-003,Biology of Aging,"Science, evidence, and practical implications of biology of aging.",Healthy Aging and Longevity,Healthy Aging Foundations,draft-generated
AGE-004,Cellular Senescence,"Science, evidence, and practical implications of cellular senescence.",Healthy Aging and Longevity,Healthy Aging Foundations,draft-generated
AGE-005,Telomeres and Aging,"Science, evidence, and practical implications of telomeres and aging.",Healthy Aging and Longevity,Healthy Aging Foundations,draft-generated
AGE-006,Mitochondria and Aging,"Science, evidence, and practical implications of mitochondria and aging.",Healthy Aging and Longevity,Healthy Aging Foundations,draft-generated
AGE-007,Inflammaging,"Science, evidence, and practical implications of inflammaging.",Healthy Aging and Longevity,Healthy Aging Foundations,draft-generated
AGE-008,Oxidative Stress and Aging,"Science, evidence, and practical implications of oxidative stress and aging.",Healthy Aging and Longevity,Healthy Aging Foundations,draft-generated
AGE-009,Autophagy,"Science, evidence, and practical implications of autophagy.",Healthy Aging and Longevity,Healthy Aging Foundations,draft-generated
AGE-010,Proteostasis,"Science, evidence, and practical implications of proteostasis.",Healthy Aging and Longevity,Healthy Aging Foundations,draft-generated
AGE-011,Epigenetics and Aging,"Science, evidence, and practical implications of epigenetics and aging.",Healthy Aging and Longevity,Healthy Aging Foundations,draft-generated
AGE-012,Genetics and Longevity,"Science, evidence, and practical implications of genetics and longevity.",Healthy Aging and Longevity,Healthy Aging Foundations,draft-generated
AGE-013,Lifestyle and Longevity,"Science, evidence, and practical implications of lifestyle and longevity.",Healthy Aging and Longevity,Healthy Aging Foundations,draft-generated
AGE-014,Functional Reserve,"Science, evidence, and practical implications of functional reserve.",Healthy Aging and Longevity,Healthy Aging Foundations,draft-generated
AGE-015,Resilience With Aging,"Science, evidence, and practical implications of resilience with aging.",Healthy Aging and Longevity,Healthy Aging Foundations,draft-generated
AGE-016,Muscle Aging,"How muscle aging affects independence, function, and healthy aging.",Healthy Aging and Longevity,Physical Function,draft-generated
AGE-017,Sarcopenia,"How sarcopenia affects independence, function, and healthy aging.",Healthy Aging and Longevity,Physical Function,draft-generated
AGE-018,Preventing Muscle Loss,"How preventing muscle loss affects independence, function, and healthy aging.",Healthy Aging and Longevity,Physical Function,draft-generated
AGE-019,Strength After 50,"How strength after 50 affects independence, function, and healthy aging.",Healthy Aging and Longevity,Physical Function,draft-generated
AGE-020,Strength After 60,"How strength after 60 affects independence, function, and healthy aging.",Healthy Aging and Longevity,Physical Function,draft-generated
AGE-021,Power and Aging,"How power and aging affects independence, function, and healthy aging.",Healthy Aging and Longevity,Physical Function,draft-generated
AGE-022,Walking Speed and Aging,"How walking speed and aging affects independence, function, and healthy aging.",Healthy Aging and Longevity,Physical Function,draft-generated
AGE-023,Grip Strength and Aging,"How grip strength and aging affects independence, function, and healthy aging.",Healthy Aging and Longevity,Physical Function,draft-generated
AGE-024,Balance and Aging,"How balance and aging affects independence, function, and healthy aging.",Healthy Aging and Longevity,Physical Function,draft-generated
AGE-025,Mobility and Aging,"How mobility and aging affects independence, function, and healthy aging.",Healthy Aging and Longevity,Physical Function,draft-generated
AGE-026,Flexibility and Aging,"How flexibility and aging affects independence, function, and healthy aging.",Healthy Aging and Longevity,Physical Function,draft-generated
AGE-027,Joint Health With Aging,"How joint health with aging affects independence, function, and healthy aging.",Healthy Aging and Longevity,Physical Function,draft-generated
AGE-028,Endurance and Aging,"How endurance and aging affects independence, function, and healthy aging.",Healthy Aging and Longevity,Physical Function,draft-generated
AGE-029,VO2 Max and Aging,"How vo2 max and aging affects independence, function, and healthy aging.",Healthy Aging and Longevity,Physical Function,draft-generated
AGE-030,Physical Activity for Longevity,"How physical activity for longevity affects independence, function, and healthy aging.",Healthy Aging and Longevity,Physical Function,draft-generated
AGE-031,Bone Aging,"Prevention, evidence, practical actions, and safety related to bone aging.",Healthy Aging and Longevity,Bone and Falls,draft-generated
AGE-032,Osteopenia,"Prevention, evidence, practical actions, and safety related to osteopenia.",Healthy Aging and Longevity,Bone and Falls,draft-generated
AGE-033,Osteoporosis Prevention,"Prevention, evidence, practical actions, and safety related to osteoporosis prevention.",Healthy Aging and Longevity,Bone and Falls,draft-generated
AGE-034,Bone Density,"Prevention, evidence, practical actions, and safety related to bone density.",Healthy Aging and Longevity,Bone and Falls,draft-generated
AGE-035,Weight-Bearing Exercise,"Prevention, evidence, practical actions, and safety related to weight-bearing exercise.",Healthy Aging and Longevity,Bone and Falls,draft-generated
AGE-036,Resistance Training for Bone Health,"Prevention, evidence, practical actions, and safety related to resistance training for bone health.",Healthy Aging and Longevity,Bone and Falls,draft-generated
AGE-037,Calcium and Aging,"Prevention, evidence, practical actions, and safety related to calcium and aging.",Healthy Aging and Longevity,Bone and Falls,draft-generated
AGE-038,Vitamin D and Aging,"Prevention, evidence, practical actions, and safety related to vitamin d and aging.",Healthy Aging and Longevity,Bone and Falls,draft-generated
AGE-039,Fall Risk,"Prevention, evidence, practical actions, and safety related to fall risk.",Healthy Aging and Longevity,Bone and Falls,draft-generated
AGE-040,Fall Prevention,"Prevention, evidence, practical actions, and safety related to fall prevention.",Healthy Aging and Longevity,Bone and Falls,draft-generated
AGE-041,Home Fall Prevention,"Prevention, evidence, practical actions, and safety related to home fall prevention.",Healthy Aging and Longevity,Bone and Falls,draft-generated
AGE-042,Vision and Falls,"Prevention, evidence, practical actions, and safety related to vision and falls.",Healthy Aging and Longevity,Bone and Falls,draft-generated
AGE-043,Medications and Falls,"Prevention, evidence, practical actions, and safety related to medications and falls.",Healthy Aging and Longevity,Bone and Falls,draft-generated
AGE-044,Footwear and Falls,"Prevention, evidence, practical actions, and safety related to footwear and falls.",Healthy Aging and Longevity,Bone and Falls,draft-generated
AGE-045,Recovering After a Fall,"Prevention, evidence, practical actions, and safety related to recovering after a fall.",Healthy Aging and Longevity,Bone and Falls,draft-generated
AGE-046,Normal Cognitive Aging,Evidence and practical strategies related to normal cognitive aging.,Healthy Aging and Longevity,Brain and Cognitive Aging,draft-generated
AGE-047,Memory Changes With Age,Evidence and practical strategies related to memory changes with age.,Healthy Aging and Longevity,Brain and Cognitive Aging,draft-generated
AGE-048,Executive Function and Aging,Evidence and practical strategies related to executive function and aging.,Healthy Aging and Longevity,Brain and Cognitive Aging,draft-generated
AGE-049,Processing Speed and Aging,Evidence and practical strategies related to processing speed and aging.,Healthy Aging and Longevity,Brain and Cognitive Aging,draft-generated
AGE-050,Brain Plasticity With Age,Evidence and practical strategies related to brain plasticity with age.,Healthy Aging and Longevity,Brain and Cognitive Aging,draft-generated
AGE-051,Exercise and Brain Aging,Evidence and practical strategies related to exercise and brain aging.,Healthy Aging and Longevity,Brain and Cognitive Aging,draft-generated
AGE-052,Sleep and Brain Aging,Evidence and practical strategies related to sleep and brain aging.,Healthy Aging and Longevity,Brain and Cognitive Aging,draft-generated
AGE-053,Nutrition and Brain Aging,Evidence and practical strategies related to nutrition and brain aging.,Healthy Aging and Longevity,Brain and Cognitive Aging,draft-generated
AGE-054,Social Connection and Cognition,Evidence and practical strategies related to social connection and cognition.,Healthy Aging and Longevity,Brain and Cognitive Aging,draft-generated
AGE-055,Hearing and Cognitive Health,Evidence and practical strategies related to hearing and cognitive health.,Healthy Aging and Longevity,Brain and Cognitive Aging,draft-generated
AGE-056,Vision and Cognitive Health,Evidence and practical strategies related to vision and cognitive health.,Healthy Aging and Longevity,Brain and Cognitive Aging,draft-generated
AGE-057,Cognitive Stimulation,Evidence and practical strategies related to cognitive stimulation.,Healthy Aging and Longevity,Brain and Cognitive Aging,draft-generated
AGE-058,Learning New Skills,Evidence and practical strategies related to learning new skills.,Healthy Aging and Longevity,Brain and Cognitive Aging,draft-generated
AGE-059,Dementia Risk Reduction,Evidence and practical strategies related to dementia risk reduction.,Healthy Aging and Longevity,Brain and Cognitive Aging,draft-generated
AGE-060,Brain Health After 60,Evidence and practical strategies related to brain health after 60.,Healthy Aging and Longevity,Brain and Cognitive Aging,draft-generated
AGE-061,Blood Pressure and Aging,How blood pressure and aging changes with age and what supports healthy function.,Healthy Aging and Longevity,Cardiometabolic Aging,draft-generated
AGE-062,Arterial Stiffness,How arterial stiffness changes with age and what supports healthy function.,Healthy Aging and Longevity,Cardiometabolic Aging,draft-generated
