module_id,title,subtitle,domain,category,status
COND-001,Hypertension,"What hypertension is, causes, risk factors, symptoms, evaluation, management, lifestyle considerations, and safety.",Medical Conditions,Cardiovascular Conditions,draft-generated
COND-002,High LDL Cholesterol,"What high ldl cholesterol is, causes, risk factors, symptoms, evaluation, management, lifestyle considerations, and safety.",Medical Conditions,Cardiovascular Conditions,draft-generated
COND-003,High Triglycerides,"What high triglycerides is, causes, risk factors, symptoms, evaluation, management, lifestyle considerations, and safety.",Medical Conditions,Cardiovascular Conditions,draft-generated
COND-004,Atherosclerosis,"What atherosclerosis is, causes, risk factors, symptoms, evaluation, management, lifestyle considerations, and safety.",Medical Conditions,Cardiovascular Conditions,draft-generated
COND-005,Coronary Artery Disease,"What coronary artery disease is, causes, risk factors, symptoms, evaluation, management, lifestyle considerations, and safety.",Medical Conditions,Cardiovascular Conditions,draft-generated
COND-006,Angina,"What angina is, causes, risk factors, symptoms, evaluation, management, lifestyle considerations, and safety.",Medical Conditions,Cardiovascular Conditions,draft-generated
COND-007,Heart Attack,"What heart attack is, causes, risk factors, symptoms, evaluation, management, lifestyle considerations, and safety.",Medical Conditions,Cardiovascular Conditions,draft-generated
COND-008,Heart Failure,"What heart failure is, causes, risk factors, symptoms, evaluation, management, lifestyle considerations, and safety.",Medical Conditions,Cardiovascular Conditions,draft-generated
COND-009,Atrial Fibrillation,"What atrial fibrillation is, causes, risk factors, symptoms, evaluation, management, lifestyle considerations, and safety.",Medical Conditions,Cardiovascular Conditions,draft-generated
COND-010,Supraventricular Tachycardia,"What supraventricular tachycardia is, causes, risk factors, symptoms, evaluation, management, lifestyle considerations, and safety.",Medical Conditions,Cardiovascular Conditions,draft-generated
COND-011,Bradycardia,"What bradycardia is, causes, risk factors, symptoms, evaluation, management, lifestyle considerations, and safety.",Medical Conditions,Cardiovascular Conditions,draft-generated
COND-012,Heart Valve Disease,"What heart valve disease is, causes, risk factors, symptoms, evaluation, management, lifestyle considerations, and safety.",Medical Conditions,Cardiovascular Conditions,draft-generated
COND-013,Aortic Aneurysm,"What aortic aneurysm is, causes, risk factors, symptoms, evaluation, management, lifestyle considerations, and safety.",Medical Conditions,Cardiovascular Conditions,draft-generated
COND-014,Peripheral Artery Disease,"What peripheral artery disease is, causes, risk factors, symptoms, evaluation, management, lifestyle considerations, and safety.",Medical Conditions,Cardiovascular Conditions,draft-generated
COND-015,Deep Vein Thrombosis,"What deep vein thrombosis is, causes, risk factors, symptoms, evaluation, management, lifestyle considerations, and safety.",Medical Conditions,Cardiovascular Conditions,draft-generated
COND-016,Pulmonary Embolism,"What pulmonary embolism is, causes, risk factors, symptoms, evaluation, management, lifestyle considerations, and safety.",Medical Conditions,Cardiovascular Conditions,draft-generated
COND-017,Varicose Veins,"What varicose veins is, causes, risk factors, symptoms, evaluation, management, lifestyle considerations, and safety.",Medical Conditions,Cardiovascular Conditions,draft-generated
COND-018,Postural Hypotension,"What postural hypotension is, causes, risk factors, symptoms, evaluation, management, lifestyle considerations, and safety.",Medical Conditions,Cardiovascular Conditions,draft-generated
COND-019,Cardiomyopathy,"What cardiomyopathy is, causes, risk factors, symptoms, evaluation, management, lifestyle considerations, and safety.",Medical Conditions,Cardiovascular Conditions,draft-generated
COND-020,Pericarditis,"What pericarditis is, causes, risk factors, symptoms, evaluation, management, lifestyle considerations, and safety.",Medical Conditions,Cardiovascular Conditions,draft-generated
COND-021,Endocarditis,"What endocarditis is, causes, risk factors, symptoms, evaluation, management, lifestyle considerations, and safety.",Medical Conditions,Cardiovascular Conditions,draft-generated
COND-022,Stroke,"What stroke is, causes, risk factors, symptoms, evaluation, management, lifestyle considerations, and safety.",Medical Conditions,Cardiovascular Conditions,draft-generated
COND-023,Transient Ischemic Attack,"What transient ischemic attack is, causes, risk factors, symptoms, evaluation, management, lifestyle considerations, and safety.",Medical Conditions,Cardiovascular Conditions,draft-generated
COND-024,Carotid Artery Disease,"What carotid artery disease is, causes, risk factors, symptoms, evaluation, management, lifestyle considerations, and safety.",Medical Conditions,Cardiovascular Conditions,draft-generated
COND-025,Raynaud Phenomenon,"What raynaud phenomenon is, causes, risk factors, symptoms, evaluation, management, lifestyle considerations, and safety.",Medical Conditions,Cardiovascular Conditions,draft-generated
COND-026,Venous Insufficiency,"What venous insufficiency is, causes, risk factors, symptoms, evaluation, management, lifestyle considerations, and safety.",Medical Conditions,Cardiovascular Conditions,draft-generated
COND-027,Pulmonary Hypertension,"What pulmonary hypertension is, causes, risk factors, symptoms, evaluation, management, lifestyle considerations, and safety.",Medical Conditions,Cardiovascular Conditions,draft-generated
COND-028,Congenital Heart Disease in Adults,"What congenital heart disease in adults is, causes, risk factors, symptoms, evaluation, management, lifestyle considerations, and safety.",Medical Conditions,Cardiovascular Conditions,draft-generated
COND-029,Metabolic Cardiovascular Risk,"What metabolic cardiovascular risk is, causes, risk factors, symptoms, evaluation, management, lifestyle considerations, and safety.",Medical Conditions,Cardiovascular Conditions,draft-generated
