module_id,title,subtitle,domain,category,status
CASE-001,Case Study: Weight Gain After 40,"A realistic educational scenario integrating assessment, evidence, priorities, and practical next steps for case study: weight gain after 40.",Case Studies and Scenarios,Weight and Metabolic Scenarios,draft-generated
CASE-002,Case Study: Prediabetes and Sedentary Lifestyle,"A realistic educational scenario integrating assessment, evidence, priorities, and practical next steps for case study: prediabetes and sedentary lifestyle.",Case Studies and Scenarios,Weight and Metabolic Scenarios,draft-generated
CASE-003,Case Study: Type 2 Diabetes and Low Fitness,"A realistic educational scenario integrating assessment, evidence, priorities, and practical next steps for case study: type 2 diabetes and low fitness.",Case Studies and Scenarios,Weight and Metabolic Scenarios,draft-generated
CASE-004,Case Study: Abdominal Weight Gain,"A realistic educational scenario integrating assessment, evidence, priorities, and practical next steps for case study: abdominal weight gain.",Case Studies and Scenarios,Weight and Metabolic Scenarios,draft-generated
CASE-005,Case Study: Weight-Loss Plateau,"A realistic educational scenario integrating assessment, evidence, priorities, and practical next steps for case study: weight-loss plateau.",Case Studies and Scenarios,Weight and Metabolic Scenarios,draft-generated
CASE-006,Case Study: Emotional Eating,"A realistic educational scenario integrating assessment, evidence, priorities, and practical next steps for case study: emotional eating.",Case Studies and Scenarios,Weight and Metabolic Scenarios,draft-generated
CASE-007,Case Study: Frequent Restaurant Eating,"A realistic educational scenario integrating assessment, evidence, priorities, and practical next steps for case study: frequent restaurant eating.",Case Studies and Scenarios,Weight and Metabolic Scenarios,draft-generated
CASE-008,Case Study: Vegetarian Protein Deficiency Risk,"A realistic educational scenario integrating assessment, evidence, priorities, and practical next steps for case study: vegetarian protein deficiency risk.",Case Studies and Scenarios,Weight and Metabolic Scenarios,draft-generated
CASE-009,Case Study: High Triglycerides,"A realistic educational scenario integrating assessment, evidence, priorities, and practical next steps for case study: high triglycerides.",Case Studies and Scenarios,Weight and Metabolic Scenarios,draft-generated
CASE-010,Case Study: Fatty Liver Disease,"A realistic educational scenario integrating assessment, evidence, priorities, and practical next steps for case study: fatty liver disease.",Case Studies and Scenarios,Weight and Metabolic Scenarios,draft-generated
CASE-011,Case Study: Newly Diagnosed High Blood Pressure,"A realistic educational scenario integrating risk, evidence, lifestyle, and safety for case study: newly diagnosed high blood pressure.",Case Studies and Scenarios,Heart Health Scenarios,draft-generated
CASE-012,Case Study: High LDL Cholesterol,"A realistic educational scenario integrating risk, evidence, lifestyle, and safety for case study: high ldl cholesterol.",Case Studies and Scenarios,Heart Health Scenarios,draft-generated
CASE-013,Case Study: High Lipoprotein(a),"A realistic educational scenario integrating risk, evidence, lifestyle, and safety for case study: high lipoprotein(a).",Case Studies and Scenarios,Heart Health Scenarios,draft-generated
CASE-014,Case Study: Family History of Heart Disease,"A realistic educational scenario integrating risk, evidence, lifestyle, and safety for case study: family history of heart disease.",Case Studies and Scenarios,Heart Health Scenarios,draft-generated
CASE-015,Case Study: South Asian Cardiovascular Risk,"A realistic educational scenario integrating risk, evidence, lifestyle, and safety for case study: south asian cardiovascular risk.",Case Studies and Scenarios,Heart Health Scenarios,draft-generated
CASE-016,Case Study: Low Cardiorespiratory Fitness,"A realistic educational scenario integrating risk, evidence, lifestyle, and safety for case study: low cardiorespiratory fitness.",Case Studies and Scenarios,Heart Health Scenarios,draft-generated
CASE-017,Case Study: Smoking and Heart Risk,"A realistic educational scenario integrating risk, evidence, lifestyle, and safety for case study: smoking and heart risk.",Case Studies and Scenarios,Heart Health Scenarios,draft-generated
CASE-018,Case Study: High Stress and Blood Pressure,"A realistic educational scenario integrating risk, evidence, lifestyle, and safety for case study: high stress and blood pressure.",Case Studies and Scenarios,Heart Health Scenarios,draft-generated
CASE-019,Case Study: Poor Sleep and Blood Pressure,"A realistic educational scenario integrating risk, evidence, lifestyle, and safety for case study: poor sleep and blood pressure.",Case Studies and Scenarios,Heart Health Scenarios,draft-generated
CASE-020,Case Study: Improving Heart Health After 50,"A realistic educational scenario integrating risk, evidence, lifestyle, and safety for case study: improving heart health after 50.",Case Studies and Scenarios,Heart Health Scenarios,draft-generated
CASE-021,Case Study: Chronic Short Sleep,"A realistic educational scenario integrating sleep science, behavior, safety, and practical options for case study: chronic short sleep.",Case Studies and Scenarios,Sleep Scenarios,draft-generated
CASE-022,Case Study: Difficulty Falling Asleep,"A realistic educational scenario integrating sleep science, behavior, safety, and practical options for case study: difficulty falling asleep.",Case Studies and Scenarios,Sleep Scenarios,draft-generated
CASE-023,Case Study: Waking During the Night,"A realistic educational scenario integrating sleep science, behavior, safety, and practical options for case study: waking during the night.",Case Studies and Scenarios,Sleep Scenarios,draft-generated
CASE-024,Case Study: Weekend Catch-Up Sleep,"A realistic educational scenario integrating sleep science, behavior, safety, and practical options for case study: weekend catch-up sleep.",Case Studies and Scenarios,Sleep Scenarios,draft-generated
CASE-025,Case Study: Shift Worker Sleep Problems,"A realistic educational scenario integrating sleep science, behavior, safety, and practical options for case study: shift worker sleep problems.",Case Studies and Scenarios,Sleep Scenarios,draft-generated
CASE-026,Case Study: Frequent Jet Lag,"A realistic educational scenario integrating sleep science, behavior, safety, and practical options for case study: frequent jet lag.",Case Studies and Scenarios,Sleep Scenarios,draft-generated
CASE-027,Case Study: Suspected Sleep Apnea,"A realistic educational scenario integrating sleep science, behavior, safety, and practical options for case study: suspected sleep apnea.",Case Studies and Scenarios,Sleep Scenarios,draft-generated
CASE-028,Case Study: Menopause and Sleep,"A realistic educational scenario integrating sleep science, behavior, safety, and practical options for case study: menopause and sleep.",Case Studies and Scenarios,Sleep Scenarios,draft-generated
CASE-029,Case Study: Caffeine and Insomnia,"A realistic educational scenario integrating sleep science, behavior, safety, and practical options for case study: caffeine and insomnia.",Case Studies and Scenarios,Sleep Scenarios,draft-generated
CASE-030,Case Study: Improving Sleep Without Supplements,"A realistic educational scenario integrating sleep science, behavior, safety, and practical options for case study: improving sleep without supplements.",Case Studies and Scenarios,Sleep Scenarios,draft-generated
