module_id,title,subtitle,domain,category,status
STR-001,What Is Stress,"Core mechanisms, evidence, and practical implications of what is stress.",Stress and Mental Well-Being,Stress Foundations,draft-generated
STR-002,Acute Stress,"Core mechanisms, evidence, and practical implications of acute stress.",Stress and Mental Well-Being,Stress Foundations,draft-generated
STR-003,Chronic Stress,"Core mechanisms, evidence, and practical implications of chronic stress.",Stress and Mental Well-Being,Stress Foundations,draft-generated
STR-004,The Stress Response,"Core mechanisms, evidence, and practical implications of the stress response.",Stress and Mental Well-Being,Stress Foundations,draft-generated
STR-005,Fight Flight Freeze Response,"Core mechanisms, evidence, and practical implications of fight flight freeze response.",Stress and Mental Well-Being,Stress Foundations,draft-generated
STR-006,Stress and the Autonomic Nervous System,"Core mechanisms, evidence, and practical implications of stress and the autonomic nervous system.",Stress and Mental Well-Being,Stress Foundations,draft-generated
STR-007,Stress and the HPA Axis,"Core mechanisms, evidence, and practical implications of stress and the hpa axis.",Stress and Mental Well-Being,Stress Foundations,draft-generated
STR-008,Cortisol,"Core mechanisms, evidence, and practical implications of cortisol.",Stress and Mental Well-Being,Stress Foundations,draft-generated
STR-009,Adrenaline and Noradrenaline,"Core mechanisms, evidence, and practical implications of adrenaline and noradrenaline.",Stress and Mental Well-Being,Stress Foundations,draft-generated
STR-010,Stress Appraisal,"Core mechanisms, evidence, and practical implications of stress appraisal.",Stress and Mental Well-Being,Stress Foundations,draft-generated
STR-011,Stress Resilience,"Core mechanisms, evidence, and practical implications of stress resilience.",Stress and Mental Well-Being,Stress Foundations,draft-generated
STR-012,Allostatic Load,"Core mechanisms, evidence, and practical implications of allostatic load.",Stress and Mental Well-Being,Stress Foundations,draft-generated
STR-013,Stress Recovery,"Core mechanisms, evidence, and practical implications of stress recovery.",Stress and Mental Well-Being,Stress Foundations,draft-generated
STR-014,Eustress and Distress,"Core mechanisms, evidence, and practical implications of eustress and distress.",Stress and Mental Well-Being,Stress Foundations,draft-generated
STR-015,Stress Triggers,"Core mechanisms, evidence, and practical implications of stress triggers.",Stress and Mental Well-Being,Stress Foundations,draft-generated
STR-016,Stress Reactivity,"Core mechanisms, evidence, and practical implications of stress reactivity.",Stress and Mental Well-Being,Stress Foundations,draft-generated
STR-017,Stress Tolerance,"Core mechanisms, evidence, and practical implications of stress tolerance.",Stress and Mental Well-Being,Stress Foundations,draft-generated
STR-018,Psychological Flexibility,"Core mechanisms, evidence, and practical implications of psychological flexibility.",Stress and Mental Well-Being,Stress Foundations,draft-generated
STR-019,Emotional Regulation,"Core mechanisms, evidence, and practical implications of emotional regulation.",Stress and Mental Well-Being,Stress Foundations,draft-generated
STR-020,Mental Well-Being,"Core mechanisms, evidence, and practical implications of mental well-being.",Stress and Mental Well-Being,Stress Foundations,draft-generated
STR-021,Stress and Sleep,"How stress and sleep are linked, including mechanisms, evidence, and practical relevance.",Stress and Mental Well-Being,Stress and the Body,draft-generated
STR-022,Stress and Appetite,"How stress and appetite are linked, including mechanisms, evidence, and practical relevance.",Stress and Mental Well-Being,Stress and the Body,draft-generated
STR-023,Stress and Weight,"How stress and weight are linked, including mechanisms, evidence, and practical relevance.",Stress and Mental Well-Being,Stress and the Body,draft-generated
STR-024,Stress and Blood Sugar,"How stress and blood sugar are linked, including mechanisms, evidence, and practical relevance.",Stress and Mental Well-Being,Stress and the Body,draft-generated
STR-025,Stress and Blood Pressure,"How stress and blood pressure are linked, including mechanisms, evidence, and practical relevance.",Stress and Mental Well-Being,Stress and the Body,draft-generated
STR-026,Stress and Heart Health,"How stress and heart health are linked, including mechanisms, evidence, and practical relevance.",Stress and Mental Well-Being,Stress and the Body,draft-generated
STR-027,Stress and Immunity,"How stress and immunity are linked, including mechanisms, evidence, and practical relevance.",Stress and Mental Well-Being,Stress and the Body,draft-generated
STR-028,Stress and Inflammation,"How stress and inflammation are linked, including mechanisms, evidence, and practical relevance.",Stress and Mental Well-Being,Stress and the Body,draft-generated
STR-029,Stress and Digestion,"How stress and digestion are linked, including mechanisms, evidence, and practical relevance.",Stress and Mental Well-Being,Stress and the Body,draft-generated
