module_id,title,subtitle,domain,category,status
MED-001,How Medicines Work,"Uses, mechanisms, benefits, side effects, interactions, monitoring, and safety related to how medicines work.",Medications,Medication Foundations,draft-generated
MED-002,Prescription vs Over-the-Counter Medicines,"Uses, mechanisms, benefits, side effects, interactions, monitoring, and safety related to prescription vs over-the-counter medicines.",Medications,Medication Foundations,draft-generated
MED-003,Generic vs Brand-Name Medicines,"Uses, mechanisms, benefits, side effects, interactions, monitoring, and safety related to generic vs brand-name medicines.",Medications,Medication Foundations,draft-generated
MED-004,Medication Dosing,"Uses, mechanisms, benefits, side effects, interactions, monitoring, and safety related to medication dosing.",Medications,Medication Foundations,draft-generated
MED-005,Medication Timing,"Uses, mechanisms, benefits, side effects, interactions, monitoring, and safety related to medication timing.",Medications,Medication Foundations,draft-generated
MED-006,Taking Medicines With Food,"Uses, mechanisms, benefits, side effects, interactions, monitoring, and safety related to taking medicines with food.",Medications,Medication Foundations,draft-generated
MED-007,Medication Adherence,"Uses, mechanisms, benefits, side effects, interactions, monitoring, and safety related to medication adherence.",Medications,Medication Foundations,draft-generated
MED-008,Missed Doses,"Uses, mechanisms, benefits, side effects, interactions, monitoring, and safety related to missed doses.",Medications,Medication Foundations,draft-generated
MED-009,Medication Side Effects,"Uses, mechanisms, benefits, side effects, interactions, monitoring, and safety related to medication side effects.",Medications,Medication Foundations,draft-generated
MED-010,Drug Allergies,"Uses, mechanisms, benefits, side effects, interactions, monitoring, and safety related to drug allergies.",Medications,Medication Foundations,draft-generated
MED-011,Drug Interactions,"Uses, mechanisms, benefits, side effects, interactions, monitoring, and safety related to drug interactions.",Medications,Medication Foundations,draft-generated
MED-012,Medication-Supplement Interactions,"Uses, mechanisms, benefits, side effects, interactions, monitoring, and safety related to medication-supplement interactions.",Medications,Medication Foundations,draft-generated
MED-013,Medication and Alcohol Interactions,"Uses, mechanisms, benefits, side effects, interactions, monitoring, and safety related to medication and alcohol interactions.",Medications,Medication Foundations,draft-generated
MED-014,Medication Storage,"Uses, mechanisms, benefits, side effects, interactions, monitoring, and safety related to medication storage.",Medications,Medication Foundations,draft-generated
MED-015,Medication Disposal,"Uses, mechanisms, benefits, side effects, interactions, monitoring, and safety related to medication disposal.",Medications,Medication Foundations,draft-generated
MED-016,ACE Inhibitors,"Uses, mechanisms, benefits, side effects, interactions, monitoring, and safety related to ace inhibitors.",Medications,Blood Pressure Medicines,pending
MED-017,ARBs,"Uses, mechanisms, benefits, side effects, interactions, monitoring, and safety related to arbs.",Medications,Blood Pressure Medicines,pending
MED-018,Thiazide Diuretics,"Uses, mechanisms, benefits, side effects, interactions, monitoring, and safety related to thiazide diuretics.",Medications,Blood Pressure Medicines,pending
MED-019,Calcium Channel Blockers,"Uses, mechanisms, benefits, side effects, interactions, monitoring, and safety related to calcium channel blockers.",Medications,Blood Pressure Medicines,pending
MED-020,Beta Blockers,"Uses, mechanisms, benefits, side effects, interactions, monitoring, and safety related to beta blockers.",Medications,Blood Pressure Medicines,pending
MED-021,Loop Diuretics,"Uses, mechanisms, benefits, side effects, interactions, monitoring, and safety related to loop diuretics.",Medications,Blood Pressure Medicines,pending
MED-022,Potassium-Sparing Diuretics,"Uses, mechanisms, benefits, side effects, interactions, monitoring, and safety related to potassium-sparing diuretics.",Medications,Blood Pressure Medicines,pending
MED-023,Alpha Blockers,"Uses, mechanisms, benefits, side effects, interactions, monitoring, and safety related to alpha blockers.",Medications,Blood Pressure Medicines,pending
MED-024,Central Alpha Agonists,"Uses, mechanisms, benefits, side effects, interactions, monitoring, and safety related to central alpha agonists.",Medications,Blood Pressure Medicines,pending
MED-025,Direct Vasodilators,"Uses, mechanisms, benefits, side effects, interactions, monitoring, and safety related to direct vasodilators.",Medications,Blood Pressure Medicines,pending
MED-026,Combination Blood Pressure Medicines,"Uses, mechanisms, benefits, side effects, interactions, monitoring, and safety related to combination blood pressure medicines.",Medications,Blood Pressure Medicines,pending
MED-027,Blood Pressure Medicine Side Effects,"Uses, mechanisms, benefits, side effects, interactions, monitoring, and safety related to blood pressure medicine side effects.",Medications,Blood Pressure Medicines,pending
MED-028,Monitoring Blood Pressure Medicines,"Uses, mechanisms, benefits, side effects, interactions, monitoring, and safety related to monitoring blood pressure medicines.",Medications,Blood Pressure Medicines,pending
MED-029,Electrolytes and Blood Pressure Medicines,"Uses, mechanisms, benefits, side effects, interactions, monitoring, and safety related to electrolytes and blood pressure medicines.",Medications,Blood Pressure Medicines,pending
MED-030,Stopping Blood Pressure Medicines Safely,"Uses, mechanisms, benefits, side effects, interactions, monitoring, and safety related to stopping blood pressure medicines safely.",Medications,Blood Pressure Medicines,pending
MED-031,Statins,"Uses, mechanisms, benefits, side effects, interactions, monitoring, and safety related to statins.",Medications,Cholesterol and Heart Medicines,pending
MED-032,Ezetimibe,"Uses, mechanisms, benefits, side effects, interactions, monitoring, and safety related to ezetimibe.",Medications,Cholesterol and Heart Medicines,pending
MED-033,PCSK9 Inhibitors,"Uses, mechanisms, benefits, side effects, interactions, monitoring, and safety related to pcsk9 inhibitors.",Medications,Cholesterol and Heart Medicines,pending
MED-034,Bempedoic Acid,"Uses, mechanisms, benefits, side effects, interactions, monitoring, and safety related to bempedoic acid.",Medications,Cholesterol and Heart Medicines,pending
