module_id,title,subtitle,domain,category,status
CHD-001,Healthy Growth in Children,"Age-appropriate evidence, prevention, and practical guidance related to healthy growth in children.",Children and Adolescents,Growth and Development,draft-generated
CHD-002,Child Development Milestones,"Age-appropriate evidence, prevention, and practical guidance related to child development milestones.",Children and Adolescents,Growth and Development,draft-generated
CHD-003,Adolescent Development,"Age-appropriate evidence, prevention, and practical guidance related to adolescent development.",Children and Adolescents,Growth and Development,draft-generated
CHD-004,Puberty,"Age-appropriate evidence, prevention, and practical guidance related to puberty.",Children and Adolescents,Growth and Development,draft-generated
CHD-005,Growth Spurts,"Age-appropriate evidence, prevention, and practical guidance related to growth spurts.",Children and Adolescents,Growth and Development,draft-generated
CHD-006,Healthy Weight in Children,"Age-appropriate evidence, prevention, and practical guidance related to healthy weight in children.",Children and Adolescents,Growth and Development,draft-generated
CHD-007,Body Image in Children,"Age-appropriate evidence, prevention, and practical guidance related to body image in children.",Children and Adolescents,Growth and Development,draft-generated
CHD-008,Body Image in Adolescents,"Age-appropriate evidence, prevention, and practical guidance related to body image in adolescents.",Children and Adolescents,Growth and Development,draft-generated
CHD-009,Pediatric Preventive Care,"Age-appropriate evidence, prevention, and practical guidance related to pediatric preventive care.",Children and Adolescents,Growth and Development,draft-generated
CHD-010,School Health,"Age-appropriate evidence, prevention, and practical guidance related to school health.",Children and Adolescents,Growth and Development,draft-generated
CHD-011,Nutrition for Young Children,Evidence-based nutrition and practical family guidance related to nutrition for young children.,Children and Adolescents,Nutrition,draft-generated
CHD-012,Nutrition for School-Age Children,Evidence-based nutrition and practical family guidance related to nutrition for school-age children.,Children and Adolescents,Nutrition,draft-generated
CHD-013,Nutrition for Adolescents,Evidence-based nutrition and practical family guidance related to nutrition for adolescents.,Children and Adolescents,Nutrition,draft-generated
CHD-014,Protein for Children,Evidence-based nutrition and practical family guidance related to protein for children.,Children and Adolescents,Nutrition,draft-generated
CHD-015,Fiber for Children,Evidence-based nutrition and practical family guidance related to fiber for children.,Children and Adolescents,Nutrition,draft-generated
CHD-016,Calcium for Children,Evidence-based nutrition and practical family guidance related to calcium for children.,Children and Adolescents,Nutrition,draft-generated
CHD-017,Iron for Children,Evidence-based nutrition and practical family guidance related to iron for children.,Children and Adolescents,Nutrition,draft-generated
CHD-018,Vitamin D for Children,Evidence-based nutrition and practical family guidance related to vitamin d for children.,Children and Adolescents,Nutrition,draft-generated
CHD-019,Healthy Snacks for Children,Evidence-based nutrition and practical family guidance related to healthy snacks for children.,Children and Adolescents,Nutrition,draft-generated
CHD-020,Family Meals,Evidence-based nutrition and practical family guidance related to family meals.,Children and Adolescents,Nutrition,draft-generated
CHD-021,Physical Activity for Children,"Benefits, safety, evidence, and practical guidance related to physical activity for children.",Children and Adolescents,Physical Activity,draft-generated
CHD-022,Exercise for Adolescents,"Benefits, safety, evidence, and practical guidance related to exercise for adolescents.",Children and Adolescents,Physical Activity,draft-generated
CHD-023,Strength Training for Youth,"Benefits, safety, evidence, and practical guidance related to strength training for youth.",Children and Adolescents,Physical Activity,draft-generated
CHD-024,Sports Participation,"Benefits, safety, evidence, and practical guidance related to sports participation.",Children and Adolescents,Physical Activity,draft-generated
CHD-025,Motor Skill Development,"Benefits, safety, evidence, and practical guidance related to motor skill development.",Children and Adolescents,Physical Activity,draft-generated
CHD-026,Outdoor Play,"Benefits, safety, evidence, and practical guidance related to outdoor play.",Children and Adolescents,Physical Activity,draft-generated
CHD-027,Screen Time and Activity,"Benefits, safety, evidence, and practical guidance related to screen time and activity.",Children and Adolescents,Physical Activity,draft-generated
CHD-028,Sedentary Behavior in Children,"Benefits, safety, evidence, and practical guidance related to sedentary behavior in children.",Children and Adolescents,Physical Activity,draft-generated
CHD-029,Exercise Safety for Youth,"Benefits, safety, evidence, and practical guidance related to exercise safety for youth.",Children and Adolescents,Physical Activity,draft-generated
CHD-030,Building Active Family Habits,"Benefits, safety, evidence, and practical guidance related to building active family habits.",Children and Adolescents,Physical Activity,draft-generated
CHD-031,Sleep Needs in Children,"Evidence, common problems, practical routines, and safety related to sleep needs in children.",Children and Adolescents,Sleep,draft-generated
CHD-032,Sleep Needs in Teenagers,"Evidence, common problems, practical routines, and safety related to sleep needs in teenagers.",Children and Adolescents,Sleep,draft-generated
CHD-033,Bedtime Routines for Children,"Evidence, common problems, practical routines, and safety related to bedtime routines for children.",Children and Adolescents,Sleep,draft-generated
CHD-034,Teen Circadian Rhythm,"Evidence, common problems, practical routines, and safety related to teen circadian rhythm.",Children and Adolescents,Sleep,draft-generated
CHD-035,Screen Time and Sleep in Children,"Evidence, common problems, practical routines, and safety related to screen time and sleep in children.",Children and Adolescents,Sleep,draft-generated
CHD-036,Insomnia in Children,"Evidence, common problems, practical routines, and safety related to insomnia in children.",Children and Adolescents,Sleep,draft-generated
CHD-037,Snoring in Children,"Evidence, common problems, practical routines, and safety related to snoring in children.",Children and Adolescents,Sleep,draft-generated
CHD-038,Sleep Apnea in Children,"Evidence, common problems, practical routines, and safety related to sleep apnea in children.",Children and Adolescents,Sleep,draft-generated
