module_id,title,subtitle,domain,category,status
NUT-001,Fundamentals of Human Nutrition,"How food, nutrients, and eating patterns support human health",Nutrition,Nutrition Foundations,draft-generated
NUT-002,Nutrients and Energy Balance,"How energy intake, expenditure, and nutrient needs interact",Nutrition,Nutrition Foundations,draft-generated
NUT-003,Macronutrients Overview,"Carbohydrate, protein, fat, and their major physiological roles",Nutrition,Macronutrients,draft-generated
NUT-004,Carbohydrates,"Structure, digestion, absorption, metabolism, and dietary sources",Nutrition,Macronutrients,draft-generated
NUT-005,Dietary Fiber,"Soluble and insoluble fiber, gut health, satiety, and cardiometabolic effects",Nutrition,Macronutrients,draft-generated
NUT-006,Sugars,"Natural sugars, added sugars, metabolism, and health implications",Nutrition,Macronutrients,draft-generated
NUT-007,Starches,"Digestible starch, resistant starch, food structure, and metabolic effects",Nutrition,Macronutrients,draft-generated
NUT-008,Protein,"Amino acids, digestion, synthesis, turnover, and dietary needs",Nutrition,Macronutrients,draft-generated
NUT-009,Essential Amino Acids,Why certain amino acids must come from the diet,Nutrition,Macronutrients,draft-generated
NUT-010,Protein Quality,"Digestibility, amino-acid profile, and complementary proteins",Nutrition,Macronutrients,draft-generated
NUT-011,Protein Distribution Across the Day,"Meal-by-meal protein intake, muscle protein synthesis, and practical planning",Nutrition,Macronutrients,draft-generated
NUT-012,Dietary Fat,"Digestion, absorption, storage, signaling, and energy metabolism",Nutrition,Macronutrients,draft-generated
NUT-013,Saturated Fat,"Food sources, physiology, LDL cholesterol, and cardiovascular evidence",Nutrition,Macronutrients,draft-generated
NUT-014,Monounsaturated Fat,"Food sources, metabolism, and cardiometabolic health",Nutrition,Macronutrients,draft-generated
NUT-015,Polyunsaturated Fat,Omega-3 and omega-6 fats and their biological roles,Nutrition,Macronutrients,draft-generated
NUT-016,Trans Fat,Industrial and naturally occurring trans fats and health risks,Nutrition,Macronutrients,draft-generated
NUT-017,Omega-3 Fatty Acids,"ALA, EPA, DHA, dietary sources, and evidence-based health effects",Nutrition,Macronutrients,draft-generated
NUT-018,Omega-6 Fatty Acids,"Linoleic acid, arachidonic acid, dietary balance, and inflammation myths",Nutrition,Macronutrients,draft-generated
NUT-019,Cholesterol in Food,"Dietary cholesterol, blood cholesterol, and individual response",Nutrition,Macronutrients,draft-generated
NUT-020,Water,"Hydration, fluid balance, and the role of water in physiology",Nutrition,Hydration,draft-generated
NUT-021,Electrolytes,"Sodium, potassium, chloride, magnesium, and fluid balance",Nutrition,Hydration,draft-generated
NUT-022,Energy Density,"Calories per gram, food volume, satiety, and weight management",Nutrition,Nutrition Foundations,draft-generated
NUT-023,Nutrient Density,How to evaluate foods by nutrient value relative to energy,Nutrition,Nutrition Foundations,draft-generated
NUT-024,Bioavailability,Why the amount of a nutrient eaten differs from the amount absorbed,Nutrition,Nutrition Foundations,draft-generated
NUT-025,Nutrient Interactions,How nutrients enhance or inhibit one another's absorption and function,Nutrition,Nutrition Foundations,draft-generated
NUT-026,Vitamins Overview,"Fat-soluble and water-soluble vitamins, functions, deficiency, and excess",Nutrition,Micronutrients,draft-generated
