module_id,title,subtitle,domain,category,status
DIS-001,Preventing Cardiovascular Disease,"Prevention, risk factors, screening, evidence, and practical actions related to preventing cardiovascular disease.",Disease Prevention,Cardiovascular Prevention,draft-generated
DIS-002,Preventing Heart Attack,"Prevention, risk factors, screening, evidence, and practical actions related to preventing heart attack.",Disease Prevention,Cardiovascular Prevention,draft-generated
DIS-003,Preventing Stroke,"Prevention, risk factors, screening, evidence, and practical actions related to preventing stroke.",Disease Prevention,Cardiovascular Prevention,draft-generated
DIS-004,Preventing High Blood Pressure,"Prevention, risk factors, screening, evidence, and practical actions related to preventing high blood pressure.",Disease Prevention,Cardiovascular Prevention,draft-generated
DIS-005,Preventing High LDL Cholesterol,"Prevention, risk factors, screening, evidence, and practical actions related to preventing high ldl cholesterol.",Disease Prevention,Cardiovascular Prevention,draft-generated
DIS-006,Preventing High Triglycerides,"Prevention, risk factors, screening, evidence, and practical actions related to preventing high triglycerides.",Disease Prevention,Cardiovascular Prevention,draft-generated
DIS-007,Preventing Atherosclerosis,"Prevention, risk factors, screening, evidence, and practical actions related to preventing atherosclerosis.",Disease Prevention,Cardiovascular Prevention,draft-generated
DIS-008,Preventing Peripheral Artery Disease,"Prevention, risk factors, screening, evidence, and practical actions related to preventing peripheral artery disease.",Disease Prevention,Cardiovascular Prevention,draft-generated
DIS-009,Preventing Heart Failure,"Prevention, risk factors, screening, evidence, and practical actions related to preventing heart failure.",Disease Prevention,Cardiovascular Prevention,draft-generated
DIS-010,Preventing Atrial Fibrillation,"Prevention, risk factors, screening, evidence, and practical actions related to preventing atrial fibrillation.",Disease Prevention,Cardiovascular Prevention,draft-generated
DIS-011,Blood Pressure Screening,"Prevention, risk factors, screening, evidence, and practical actions related to blood pressure screening.",Disease Prevention,Cardiovascular Prevention,draft-generated
DIS-012,Cholesterol Screening,"Prevention, risk factors, screening, evidence, and practical actions related to cholesterol screening.",Disease Prevention,Cardiovascular Prevention,draft-generated
DIS-013,Cardiovascular Risk Scores,"Prevention, risk factors, screening, evidence, and practical actions related to cardiovascular risk scores.",Disease Prevention,Cardiovascular Prevention,draft-generated
DIS-014,Coronary Artery Calcium Scoring,"Prevention, risk factors, screening, evidence, and practical actions related to coronary artery calcium scoring.",Disease Prevention,Cardiovascular Prevention,draft-generated
DIS-015,Smoking and Cardiovascular Risk,"Prevention, risk factors, screening, evidence, and practical actions related to smoking and cardiovascular risk.",Disease Prevention,Cardiovascular Prevention,draft-generated
DIS-016,Exercise for Cardiovascular Prevention,"Prevention, risk factors, screening, evidence, and practical actions related to exercise for cardiovascular prevention.",Disease Prevention,Cardiovascular Prevention,draft-generated
DIS-017,Nutrition for Cardiovascular Prevention,"Prevention, risk factors, screening, evidence, and practical actions related to nutrition for cardiovascular prevention.",Disease Prevention,Cardiovascular Prevention,draft-generated
DIS-018,Sleep and Cardiovascular Risk,"Prevention, risk factors, screening, evidence, and practical actions related to sleep and cardiovascular risk.",Disease Prevention,Cardiovascular Prevention,draft-generated
DIS-019,Stress and Cardiovascular Risk,"Prevention, risk factors, screening, evidence, and practical actions related to stress and cardiovascular risk.",Disease Prevention,Cardiovascular Prevention,draft-generated
DIS-020,Weight and Cardiovascular Risk,"Prevention, risk factors, screening, evidence, and practical actions related to weight and cardiovascular risk.",Disease Prevention,Cardiovascular Prevention,draft-generated
DIS-021,Diabetes and Cardiovascular Risk,"Prevention, risk factors, screening, evidence, and practical actions related to diabetes and cardiovascular risk.",Disease Prevention,Cardiovascular Prevention,draft-generated
DIS-022,Family History and Heart Disease,"Prevention, risk factors, screening, evidence, and practical actions related to family history and heart disease.",Disease Prevention,Cardiovascular Prevention,draft-generated
DIS-023,Menopause and Cardiovascular Risk,"Prevention, risk factors, screening, evidence, and practical actions related to menopause and cardiovascular risk.",Disease Prevention,Cardiovascular Prevention,draft-generated
DIS-024,South Asian Cardiovascular Risk,"Prevention, risk factors, screening, evidence, and practical actions related to south asian cardiovascular risk.",Disease Prevention,Cardiovascular Prevention,draft-generated
DIS-025,Building a Heart-Health Prevention Plan,"Prevention, risk factors, screening, evidence, and practical actions related to building a heart-health prevention plan.",Disease Prevention,Cardiovascular Prevention,draft-generated
DIS-026,Preventing Prediabetes,"Prevention, risk factors, screening, evidence, and practical actions related to preventing prediabetes.",Disease Prevention,Metabolic Prevention,draft-generated
DIS-027,Preventing Type 2 Diabetes,"Prevention, risk factors, screening, evidence, and practical actions related to preventing type 2 diabetes.",Disease Prevention,Metabolic Prevention,draft-generated
DIS-028,Preventing Insulin Resistance,"Prevention, risk factors, screening, evidence, and practical actions related to preventing insulin resistance.",Disease Prevention,Metabolic Prevention,draft-generated
DIS-029,Preventing Metabolic Syndrome,"Prevention, risk factors, screening, evidence, and practical actions related to preventing metabolic syndrome.",Disease Prevention,Metabolic Prevention,draft-generated
DIS-030,Preventing Obesity,"Prevention, risk factors, screening, evidence, and practical actions related to preventing obesity.",Disease Prevention,Metabolic Prevention,draft-generated
DIS-031,Preventing Abdominal Obesity,"Prevention, risk factors, screening, evidence, and practical actions related to preventing abdominal obesity.",Disease Prevention,Metabolic Prevention,draft-generated
DIS-032,Preventing Fatty Liver Disease,"Prevention, risk factors, screening, evidence, and practical actions related to preventing fatty liver disease.",Disease Prevention,Metabolic Prevention,draft-generated
DIS-033,Preventing Gout,"Prevention, risk factors, screening, evidence, and practical actions related to preventing gout.",Disease Prevention,Metabolic Prevention,draft-generated
DIS-034,Preventing Hyperuricemia,"Prevention, risk factors, screening, evidence, and practical actions related to preventing hyperuricemia.",Disease Prevention,Metabolic Prevention,draft-generated
DIS-035,Preventing Metabolic Complications,"Prevention, risk factors, screening, evidence, and practical actions related to preventing metabolic complications.",Disease Prevention,Metabolic Prevention,draft-generated
DIS-036,HbA1c Screening,"Prevention, risk factors, screening, evidence, and practical actions related to hba1c screening.",Disease Prevention,Metabolic Prevention,draft-generated
DIS-037,Fasting Glucose Screening,"Prevention, risk factors, screening, evidence, and practical actions related to fasting glucose screening.",Disease Prevention,Metabolic Prevention,draft-generated
DIS-038,Waist Circumference and Risk,"Prevention, risk factors, screening, evidence, and practical actions related to waist circumference and risk.",Disease Prevention,Metabolic Prevention,draft-generated
DIS-039,Weight Gain Prevention,"Prevention, risk factors, screening, evidence, and practical actions related to weight gain prevention.",Disease Prevention,Metabolic Prevention,draft-generated
