module_id,title,subtitle,domain,category,status
SLP-001,Why Sleep Matters,"Core concepts, physiology, evidence, and practical implications of why sleep matters.",Sleep,Sleep Foundations,draft-generated
SLP-002,What Happens During Sleep,"Core concepts, physiology, evidence, and practical implications of what happens during sleep.",Sleep,Sleep Foundations,draft-generated
SLP-003,Sleep Architecture,"Core concepts, physiology, evidence, and practical implications of sleep architecture.",Sleep,Sleep Foundations,draft-generated
SLP-004,Non-REM Sleep,"Core concepts, physiology, evidence, and practical implications of non-rem sleep.",Sleep,Sleep Foundations,draft-generated
SLP-005,REM Sleep,"Core concepts, physiology, evidence, and practical implications of rem sleep.",Sleep,Sleep Foundations,draft-generated
SLP-006,Deep Sleep,"Core concepts, physiology, evidence, and practical implications of deep sleep.",Sleep,Sleep Foundations,draft-generated
SLP-007,Sleep Cycles,"Core concepts, physiology, evidence, and practical implications of sleep cycles.",Sleep,Sleep Foundations,draft-generated
SLP-008,Circadian Rhythm,"Core concepts, physiology, evidence, and practical implications of circadian rhythm.",Sleep,Sleep Foundations,draft-generated
SLP-009,Sleep Pressure and Adenosine,"Core concepts, physiology, evidence, and practical implications of sleep pressure and adenosine.",Sleep,Sleep Foundations,draft-generated
SLP-010,Chronotypes,"Core concepts, physiology, evidence, and practical implications of chronotypes.",Sleep,Sleep Foundations,draft-generated
SLP-011,Sleep Need Across Adulthood,"Core concepts, physiology, evidence, and practical implications of sleep need across adulthood.",Sleep,Sleep Foundations,draft-generated
SLP-012,Sleep Quantity vs Sleep Quality,"Core concepts, physiology, evidence, and practical implications of sleep quantity vs sleep quality.",Sleep,Sleep Foundations,draft-generated
SLP-013,Sleep Efficiency,"Core concepts, physiology, evidence, and practical implications of sleep efficiency.",Sleep,Sleep Foundations,draft-generated
SLP-014,Sleep Continuity,"Core concepts, physiology, evidence, and practical implications of sleep continuity.",Sleep,Sleep Foundations,draft-generated
SLP-015,Sleep Timing,"Core concepts, physiology, evidence, and practical implications of sleep timing.",Sleep,Sleep Foundations,draft-generated
SLP-016,Sleep Regularity,"Core concepts, physiology, evidence, and practical implications of sleep regularity.",Sleep,Sleep Foundations,draft-generated
SLP-017,Sleep Inertia,"Core concepts, physiology, evidence, and practical implications of sleep inertia.",Sleep,Sleep Foundations,draft-generated
SLP-018,Dreaming,"Core concepts, physiology, evidence, and practical implications of dreaming.",Sleep,Sleep Foundations,draft-generated
SLP-019,Body Temperature and Sleep,"Core concepts, physiology, evidence, and practical implications of body temperature and sleep.",Sleep,Sleep Foundations,draft-generated
SLP-020,Hormones and Sleep,"Core concepts, physiology, evidence, and practical implications of hormones and sleep.",Sleep,Sleep Foundations,draft-generated
SLP-021,Sleep and Brain Health,"How sleep and brain health are connected, what the evidence shows, and what matters in practice.",Sleep,Sleep and Health,draft-generated
SLP-022,Sleep and Memory,"How sleep and memory are connected, what the evidence shows, and what matters in practice.",Sleep,Sleep and Health,draft-generated
SLP-023,Sleep and Learning,"How sleep and learning are connected, what the evidence shows, and what matters in practice.",Sleep,Sleep and Health,draft-generated
SLP-024,Sleep and Attention,"How sleep and attention are connected, what the evidence shows, and what matters in practice.",Sleep,Sleep and Health,draft-generated
SLP-025,Sleep and Mood,"How sleep and mood are connected, what the evidence shows, and what matters in practice.",Sleep,Sleep and Health,draft-generated
SLP-026,Sleep and Stress,"How sleep and stress are connected, what the evidence shows, and what matters in practice.",Sleep,Sleep and Health,pending
SLP-027,Sleep and Anxiety,"How sleep and anxiety are connected, what the evidence shows, and what matters in practice.",Sleep,Sleep and Health,pending
SLP-028,Sleep and Depression,"How sleep and depression are connected, what the evidence shows, and what matters in practice.",Sleep,Sleep and Health,pending
SLP-029,Sleep and Immunity,"How sleep and immunity are connected, what the evidence shows, and what matters in practice.",Sleep,Sleep and Health,pending
SLP-030,Sleep and Inflammation,"How sleep and inflammation are connected, what the evidence shows, and what matters in practice.",Sleep,Sleep and Health,pending
SLP-031,Sleep and Cardiovascular Health,"How sleep and cardiovascular health are connected, what the evidence shows, and what matters in practice.",Sleep,Sleep and Health,pending
SLP-032,Sleep and Blood Pressure,"How sleep and blood pressure are connected, what the evidence shows, and what matters in practice.",Sleep,Sleep and Health,pending
SLP-033,Sleep and Glucose Regulation,"How sleep and glucose regulation are connected, what the evidence shows, and what matters in practice.",Sleep,Sleep and Health,pending
SLP-034,Sleep and Diabetes Risk,"How sleep and diabetes risk are connected, what the evidence shows, and what matters in practice.",Sleep,Sleep and Health,pending
SLP-035,Sleep and Appetite,"How sleep and appetite are connected, what the evidence shows, and what matters in practice.",Sleep,Sleep and Health,pending
SLP-036,Sleep and Weight Regulation,"How sleep and weight regulation are connected, what the evidence shows, and what matters in practice.",Sleep,Sleep and Health,pending
SLP-037,Sleep and Exercise Recovery,"How sleep and exercise recovery are connected, what the evidence shows, and what matters in practice.",Sleep,Sleep and Health,pending
SLP-038,Sleep and Muscle Adaptation,"How sleep and muscle adaptation are connected, what the evidence shows, and what matters in practice.",Sleep,Sleep and Health,pending
SLP-039,Sleep and Athletic Performance,"How sleep and athletic performance are connected, what the evidence shows, and what matters in practice.",Sleep,Sleep and Health,pending
SLP-040,Sleep and Pain,"How sleep and pain are connected, what the evidence shows, and what matters in practice.",Sleep,Sleep and Health,pending
SLP-041,Sleep Hygiene,Evidence-based ways to understand and improve sleep hygiene.,Sleep,Healthy Sleep Habits,pending
SLP-042,Building a Bedtime Routine,Evidence-based ways to understand and improve building a bedtime routine.,Sleep,Healthy Sleep Habits,pending
SLP-043,Keeping a Consistent Sleep Schedule,Evidence-based ways to understand and improve keeping a consistent sleep schedule.,Sleep,Healthy Sleep Habits,pending
SLP-044,Morning Light Exposure,Evidence-based ways to understand and improve morning light exposure.,Sleep,Healthy Sleep Habits,pending
SLP-045,Evening Light Exposure,Evidence-based ways to understand and improve evening light exposure.,Sleep,Healthy Sleep Habits,pending
SLP-046,Bedroom Darkness,Evidence-based ways to understand and improve bedroom darkness.,Sleep,Healthy Sleep Habits,pending
SLP-047,Bedroom Temperature,Evidence-based ways to understand and improve bedroom temperature.,Sleep,Healthy Sleep Habits,pending
SLP-048,Noise and Sleep,Evidence-based ways to understand and improve noise and sleep.,Sleep,Healthy Sleep Habits,pending
