module_id,title,subtitle,domain,category,status
WOM-001,Women's Health Across Adulthood,"Evidence, physiology, prevention, and practical implications of women's health across adulthood.",Women's Health,Women's Health Foundations,draft-generated
WOM-002,Female Reproductive Anatomy,"Evidence, physiology, prevention, and practical implications of female reproductive anatomy.",Women's Health,Women's Health Foundations,draft-generated
WOM-003,Female Reproductive Hormones,"Evidence, physiology, prevention, and practical implications of female reproductive hormones.",Women's Health,Women's Health Foundations,draft-generated
WOM-004,Menstrual Cycle,"Evidence, physiology, prevention, and practical implications of menstrual cycle.",Women's Health,Women's Health Foundations,draft-generated
WOM-005,Tracking the Menstrual Cycle,"Evidence, physiology, prevention, and practical implications of tracking the menstrual cycle.",Women's Health,Women's Health Foundations,draft-generated
WOM-006,Normal Menstrual Variation,"Evidence, physiology, prevention, and practical implications of normal menstrual variation.",Women's Health,Women's Health Foundations,draft-generated
WOM-007,Women's Preventive Care,"Evidence, physiology, prevention, and practical implications of women's preventive care.",Women's Health,Women's Health Foundations,draft-generated
WOM-008,Women's Health Screening,"Evidence, physiology, prevention, and practical implications of women's health screening.",Women's Health,Women's Health Foundations,draft-generated
WOM-009,Nutrition for Women,"Evidence, physiology, prevention, and practical implications of nutrition for women.",Women's Health,Women's Health Foundations,draft-generated
WOM-010,Exercise for Women,"Evidence, physiology, prevention, and practical implications of exercise for women.",Women's Health,Women's Health Foundations,draft-generated
WOM-011,Sleep in Women,"Evidence, physiology, prevention, and practical implications of sleep in women.",Women's Health,Women's Health Foundations,draft-generated
WOM-012,Stress in Women,"Evidence, physiology, prevention, and practical implications of stress in women.",Women's Health,Women's Health Foundations,draft-generated
WOM-013,Body Composition in Women,"Evidence, physiology, prevention, and practical implications of body composition in women.",Women's Health,Women's Health Foundations,draft-generated
WOM-014,Bone Health in Women,"Evidence, physiology, prevention, and practical implications of bone health in women.",Women's Health,Women's Health Foundations,draft-generated
WOM-015,Cardiovascular Health in Women,"Evidence, physiology, prevention, and practical implications of cardiovascular health in women.",Women's Health,Women's Health Foundations,draft-generated
WOM-016,Menstrual Cramps,"Definitions, common causes, evidence-based management, and safety related to menstrual cramps.",Women's Health,Menstrual Health,draft-generated
WOM-017,Heavy Menstrual Bleeding,"Definitions, common causes, evidence-based management, and safety related to heavy menstrual bleeding.",Women's Health,Menstrual Health,draft-generated
WOM-018,Irregular Periods,"Definitions, common causes, evidence-based management, and safety related to irregular periods.",Women's Health,Menstrual Health,draft-generated
WOM-019,Missed Periods,"Definitions, common causes, evidence-based management, and safety related to missed periods.",Women's Health,Menstrual Health,draft-generated
WOM-020,Premenstrual Syndrome,"Definitions, common causes, evidence-based management, and safety related to premenstrual syndrome.",Women's Health,Menstrual Health,draft-generated
WOM-021,Premenstrual Dysphoric Disorder,"Definitions, common causes, evidence-based management, and safety related to premenstrual dysphoric disorder.",Women's Health,Menstrual Health,pending
WOM-022,Menstrual Migraines,"Definitions, common causes, evidence-based management, and safety related to menstrual migraines.",Women's Health,Menstrual Health,pending
WOM-023,Iron Deficiency and Menstruation,"Definitions, common causes, evidence-based management, and safety related to iron deficiency and menstruation.",Women's Health,Menstrual Health,pending
WOM-024,Exercise During the Menstrual Cycle,"Definitions, common causes, evidence-based management, and safety related to exercise during the menstrual cycle.",Women's Health,Menstrual Health,pending
WOM-025,Nutrition During the Menstrual Cycle,"Definitions, common causes, evidence-based management, and safety related to nutrition during the menstrual cycle.",Women's Health,Menstrual Health,pending
WOM-026,Sleep and the Menstrual Cycle,"Definitions, common causes, evidence-based management, and safety related to sleep and the menstrual cycle.",Women's Health,Menstrual Health,pending
WOM-027,Stress and the Menstrual Cycle,"Definitions, common causes, evidence-based management, and safety related to stress and the menstrual cycle.",Women's Health,Menstrual Health,pending
WOM-028,Period Products,"Definitions, common causes, evidence-based management, and safety related to period products.",Women's Health,Menstrual Health,pending
WOM-029,Menstrual Health Myths,"Definitions, common causes, evidence-based management, and safety related to menstrual health myths.",Women's Health,Menstrual Health,pending
WOM-030,When Menstrual Symptoms Need Evaluation,"Definitions, common causes, evidence-based management, and safety related to when menstrual symptoms need evaluation.",Women's Health,Menstrual Health,pending
WOM-031,Female Fertility,"Evidence, practical guidance, and safety considerations for female fertility.",Women's Health,Fertility and Pregnancy,pending
WOM-032,Age and Fertility,"Evidence, practical guidance, and safety considerations for age and fertility.",Women's Health,Fertility and Pregnancy,pending
WOM-033,Ovulation,"Evidence, practical guidance, and safety considerations for ovulation.",Women's Health,Fertility and Pregnancy,pending
WOM-034,Preconception Health,"Evidence, practical guidance, and safety considerations for preconception health.",Women's Health,Fertility and Pregnancy,pending
