module_id,title,subtitle,domain,category,status
PROG-001,Beginner Walking Program,"A structured, progressive, safety-conscious approach to beginner walking program.",Exercise Programs,Beginner Programs,draft-generated
PROG-002,Beginner Strength Program,"A structured, progressive, safety-conscious approach to beginner strength program.",Exercise Programs,Beginner Programs,draft-generated
PROG-003,Beginner Cardio Program,"A structured, progressive, safety-conscious approach to beginner cardio program.",Exercise Programs,Beginner Programs,draft-generated
PROG-004,Beginner Mobility Program,"A structured, progressive, safety-conscious approach to beginner mobility program.",Exercise Programs,Beginner Programs,draft-generated
PROG-005,Beginner Balance Program,"A structured, progressive, safety-conscious approach to beginner balance program.",Exercise Programs,Beginner Programs,draft-generated
PROG-006,Beginner Home Workout Program,"A structured, progressive, safety-conscious approach to beginner home workout program.",Exercise Programs,Beginner Programs,draft-generated
PROG-007,Beginner Gym Program,"A structured, progressive, safety-conscious approach to beginner gym program.",Exercise Programs,Beginner Programs,draft-generated
PROG-008,Beginner Run-Walk Program,"A structured, progressive, safety-conscious approach to beginner run-walk program.",Exercise Programs,Beginner Programs,draft-generated
PROG-009,Beginner Cycling Program,"A structured, progressive, safety-conscious approach to beginner cycling program.",Exercise Programs,Beginner Programs,draft-generated
PROG-010,Beginner Swimming Program,"A structured, progressive, safety-conscious approach to beginner swimming program.",Exercise Programs,Beginner Programs,draft-generated
PROG-011,Full-Body Strength Program,"Programming principles, progression, exercise selection, and safety for full-body strength program.",Exercise Programs,Strength Programs,draft-generated
PROG-012,Two-Day Strength Program,"Programming principles, progression, exercise selection, and safety for two-day strength program.",Exercise Programs,Strength Programs,draft-generated
PROG-013,Three-Day Strength Program,"Programming principles, progression, exercise selection, and safety for three-day strength program.",Exercise Programs,Strength Programs,draft-generated
PROG-014,Four-Day Strength Program,"Programming principles, progression, exercise selection, and safety for four-day strength program.",Exercise Programs,Strength Programs,draft-generated
PROG-015,Upper-Lower Strength Program,"Programming principles, progression, exercise selection, and safety for upper-lower strength program.",Exercise Programs,Strength Programs,draft-generated
PROG-016,Push-Pull-Legs Program,"Programming principles, progression, exercise selection, and safety for push-pull-legs program.",Exercise Programs,Strength Programs,draft-generated
PROG-017,Dumbbell Strength Program,"Programming principles, progression, exercise selection, and safety for dumbbell strength program.",Exercise Programs,Strength Programs,draft-generated
PROG-018,Resistance Band Program,"Programming principles, progression, exercise selection, and safety for resistance band program.",Exercise Programs,Strength Programs,draft-generated
PROG-019,Bodyweight Strength Program,"Programming principles, progression, exercise selection, and safety for bodyweight strength program.",Exercise Programs,Strength Programs,draft-generated
PROG-020,Kettlebell Strength Program,"Programming principles, progression, exercise selection, and safety for kettlebell strength program.",Exercise Programs,Strength Programs,draft-generated
PROG-021,Beginner Muscle-Building Program,"A structured approach to beginner muscle-building program, including volume, progression, recovery, and safety.",Exercise Programs,Muscle Programs,draft-generated
PROG-022,Intermediate Muscle-Building Program,"A structured approach to intermediate muscle-building program, including volume, progression, recovery, and safety.",Exercise Programs,Muscle Programs,draft-generated
PROG-023,Upper-Body Muscle Program,"A structured approach to upper-body muscle program, including volume, progression, recovery, and safety.",Exercise Programs,Muscle Programs,draft-generated
PROG-024,Lower-Body Muscle Program,"A structured approach to lower-body muscle program, including volume, progression, recovery, and safety.",Exercise Programs,Muscle Programs,draft-generated
PROG-025,Glute Strength Program,"A structured approach to glute strength program, including volume, progression, recovery, and safety.",Exercise Programs,Muscle Programs,draft-generated
PROG-026,Back Strength Program,"A structured approach to back strength program, including volume, progression, recovery, and safety.",Exercise Programs,Muscle Programs,draft-generated
PROG-027,Chest Strength Program,"A structured approach to chest strength program, including volume, progression, recovery, and safety.",Exercise Programs,Muscle Programs,draft-generated
PROG-028,Shoulder Strength Program,"A structured approach to shoulder strength program, including volume, progression, recovery, and safety.",Exercise Programs,Muscle Programs,draft-generated
PROG-029,Arm Strength Program,"A structured approach to arm strength program, including volume, progression, recovery, and safety.",Exercise Programs,Muscle Programs,draft-generated
PROG-030,Core Strength Program,"A structured approach to core strength program, including volume, progression, recovery, and safety.",Exercise Programs,Muscle Programs,draft-generated
PROG-031,Zone 2 Training Program,"A progressive endurance framework for zone 2 training program, including intensity, recovery, and monitoring.",Exercise Programs,Cardio Programs,draft-generated
PROG-032,Walking for Fitness Program,"A progressive endurance framework for walking for fitness program, including intensity, recovery, and monitoring.",Exercise Programs,Cardio Programs,draft-generated
PROG-033,Brisk Walking Program,"A progressive endurance framework for brisk walking program, including intensity, recovery, and monitoring.",Exercise Programs,Cardio Programs,draft-generated
PROG-034,5K Beginner Program,"A progressive endurance framework for 5k beginner program, including intensity, recovery, and monitoring.",Exercise Programs,Cardio Programs,draft-generated
PROG-035,10K Beginner Program,"A progressive endurance framework for 10k beginner program, including intensity, recovery, and monitoring.",Exercise Programs,Cardio Programs,draft-generated
PROG-036,Cycling Fitness Program,"A progressive endurance framework for cycling fitness program, including intensity, recovery, and monitoring.",Exercise Programs,Cardio Programs,draft-generated
PROG-037,Indoor Cycling Program,"A progressive endurance framework for indoor cycling program, including intensity, recovery, and monitoring.",Exercise Programs,Cardio Programs,draft-generated
PROG-038,Rowing Fitness Program,"A progressive endurance framework for rowing fitness program, including intensity, recovery, and monitoring.",Exercise Programs,Cardio Programs,draft-generated
PROG-039,Elliptical Fitness Program,"A progressive endurance framework for elliptical fitness program, including intensity, recovery, and monitoring.",Exercise Programs,Cardio Programs,draft-generated
PROG-040,Stair Climbing Program,"A progressive endurance framework for stair climbing program, including intensity, recovery, and monitoring.",Exercise Programs,Cardio Programs,draft-generated
PROG-041,Beginner Interval Training Program,"A structured, evidence-based progression for beginner interval training program, including suitability and safety.",Exercise Programs,HIIT and Performance,draft-generated
PROG-042,HIIT Starter Program,"A structured, evidence-based progression for hiit starter program, including suitability and safety.",Exercise Programs,HIIT and Performance,draft-generated
PROG-043,Advanced Interval Training Program,"A structured, evidence-based progression for advanced interval training program, including suitability and safety.",Exercise Programs,HIIT and Performance,draft-generated
PROG-044,VO2 Max Improvement Program,"A structured, evidence-based progression for vo2 max improvement program, including suitability and safety.",Exercise Programs,HIIT and Performance,draft-generated
PROG-045,Lactate Threshold Program,"A structured, evidence-based progression for lactate threshold program, including suitability and safety.",Exercise Programs,HIIT and Performance,pending
PROG-046,Sprint Interval Program,"A structured, evidence-based progression for sprint interval program, including suitability and safety.",Exercise Programs,HIIT and Performance,pending
PROG-047,Mixed Cardio Program,"A structured, evidence-based progression for mixed cardio program, including suitability and safety.",Exercise Programs,HIIT and Performance,pending
PROG-048,Cardio and Strength Combined Program,"A structured, evidence-based progression for cardio and strength combined program, including suitability and safety.",Exercise Programs,HIIT and Performance,pending
